update,frames,FPS,duration,return_mean,return_std,return_min,return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm
67,68608,2162.620913081111,30,-5582.9375,976.0645290367589,-6749.0,-3951.5,450.0,0.0,450.0,450.0,0.3170543685555458,-56.94721603393555,154.63652420043945,28394.38037109375,22.857222900623654
68,69632,2131.1494530173486,31,-4416.1875,2017.7273096466108,-6710.0,-430.5,395.0,145.5163221085525,10.0,450.0,0.31509146839380264,-57.685543060302734,140.22219467163086,25063.59716796875,23.6073558695213
69,70656,2013.9176111519837,31,-4588.9375,2202.928880455234,-7456.0,-430.5,387.625,144.0294566225951,10.0,450.0,0.29254133254289627,-58.36534786224365,153.34209442138672,26506.37109375,11.69199537020284
70,71680,1952.5409802603197,32,-3608.3125,2247.4493728655493,-7456.0,-430.5,312.375,174.79626533481772,10.0,450.0,0.39083293080329895,-59.08938407897949,149.3355598449707,26228.0341796875,56.59552485605593
71,72704,1891.2970591978285,32,-3721.1875,2208.7069454985985,-7456.0,-430.5,312.375,174.79626533481772,10.0,450.0,0.4731384590268135,-59.797104835510254,151.62920761108398,26739.83056640625,26.925174212124723
72,73728,1853.677601793355,33,-3841.0625,1416.7227683438105,-5849.0,-980.5,374.75,138.5521111351249,55.0,450.0,0.43488771468400955,-60.5483980178833,156.29500579833984,28656.1884765625,44.89420299888613
73,74752,1814.3047277888547,33,-4778.0625,1513.6575000123871,-7747.0,-2960.5,424.125,68.45881517379628,243.0,450.0,0.3351312652230263,-61.29831886291504,133.8356704711914,20989.953125,43.74611613826662
74,75776,1817.5255210879,34,-5034.875,1316.7633080303385,-7747.0,-3351.5,450.0,0.0,450.0,450.0,0.45738956332206726,-62.02353096008301,121.76840782165527,17050.85888671875,70.08273058580546
75,76800,2009.966748017512,34,-4318.875,2046.9401821682527,-7747.0,-382.0,387.125,143.69710983523643,11.0,450.0,0.36012475192546844,-62.75191879272461,121.00442123413086,17499.302734375,29.88258560430568
76,77824,2104.8860172263812,35,-3757.1875,1596.0401376825553,-5535.5,-382.0,366.875,144.82009313282464,11.0,450.0,0.29556000977754593,-63.500938415527344,123.11576843261719,17490.69384765625,18.119859951332117
77,78848,1994.3272894773013,36,-3445.125,1626.53436695171,-6537.5,-382.0,365.25,143.9485585200491,11.0,450.0,0.19419413059949875,-64.24324798583984,126.2104434967041,18587.09912109375,19.63059370478865
78,79872,2046.0770026339571,36,-3101.625,1745.6135337969283,-6537.5,-877.0,312.375,175.73626368794802,51.0,450.0,0.3036981150507927,-64.91447448730469,117.50640869140625,15968.779541015625,46.305648362482074
79,80896,1948.826156123263,37,-3050.625,1749.8186111351656,-6537.5,-877.0,300.375,169.08055587500297,51.0,450.0,0.1799737624824047,-65.6528377532959,131.23070907592773,19594.25244140625,29.6823890391559
80,81920,2033.8966232796986,37,-3163.875,1122.0753024530038,-4861.5,-877.0,346.5,132.1457528640251,51.0,450.0,0.2882971838116646,-66.4009895324707,141.12200546264648,22310.7314453125,31.16842430481364
81,82944,2247.990164248467,38,-3149.8125,1312.7103149948011,-4899.5,-1212.0,295.875,136.37396883203186,77.0,450.0,0.4014866203069687,-67.15839195251465,148.71868896484375,25336.07568359375,37.592468218645486
82,83968,2153.5350815792376,38,-2975.0,1939.3169867249655,-5551.0,-516.0,277.0,181.8240908130713,19.0,450.0,0.2892955020070076,-67.89114379882812,148.45435333251953,25776.01318359375,15.936742736993379
83,84992,2209.23053689083,38,-2975.0,1939.3169867249655,-5551.0,-516.0,277.0,181.8240908130713,19.0,450.0,0.23099590092897415,-68.57352828979492,167.10634231567383,31005.80810546875,25.851984838441453
84,86016,2190.348773497343,39,-2648.0,2076.7728721504427,-5551.0,-516.0,204.5,181.67484691062768,19.0,450.0,0.2701570615172386,-69.29264640808105,166.28076171875,31598.744140625,30.324563773126208
85,87040,2283.037880644316,39,-2872.125,2300.9529377792583,-7179.0,-417.0,226.375,188.23717585801165,10.0,450.0,0.3189314752817154,-69.97618293762207,136.51334381103516,21643.18701171875,32.0134157035793
